index,Seed,Ticks,SuccessfulInfluence,Topology,neighborhood,num_agents,num_features,num_traits,communication_regime,homophily,seed,Regions,Isolates,Homogeneity,AverageDistance
0,88778,134768,42157,grid,moore,100,5,15,one-to-one,0.25,88778,1,0,1.0,0.0
0,12823,69245,21615,grid,moore,100,5,15,one-to-one,0.25,12823,2,1,0.99,0.02
0,88406,83350,26844,grid,moore,100,5,15,one-to-one,0.25,88406,1,0,1.0,0.0
0,83399,50603,18277,grid,moore,100,5,15,one-to-one,0.25,83399,1,0,1.0,0.0
0,51046,73686,26376,grid,moore,100,5,15,one-to-one,0.25,51046,1,0,1.0,0.0
0,96111,41773,13410,grid,moore,100,5,15,one-to-one,0.25,96111,3,1,0.96,0.0675
0,22798,92527,29497,grid,moore,100,5,15,one-to-one,0.25,22798,2,1,0.99,0.02
0,46031,50151,16250,grid,moore,100,5,15,one-to-one,0.25,46031,5,3,0.95,0.0925
0,83790,90806,26032,grid,moore,100,5,15,one-to-one,0.25,83790,3,0,0.95,0.085
0,81133,56633,19761,grid,moore,100,5,15,one-to-one,0.25,81133,1,0,1.0,0.0
0,70506,61530,20531,grid,moore,100,5,15,one-to-one,0.25,70506,3,2,0.98,0.04
0,67028,53528,16975,grid,moore,100,5,15,one-to-one,0.25,67028,3,0,0.95,0.0725
0,43195,81241,29265,grid,moore,100,5,15,one-to-one,0.25,43195,1,0,1.0,0.0
0,36144,79304,28675,grid,moore,100,5,15,one-to-one,0.25,36144,1,0,1.0,0.0
0,83506,69970,22806,grid,moore,100,5,15,one-to-one,0.25,83506,2,0,0.98,0.035
0,89803,127806,29846,grid,moore,100,5,15,one-to-one,0.25,89803,1,0,1.0,0.0
0,54667,89222,30774,grid,moore,100,5,15,one-to-one,0.25,54667,2,1,0.99,0.02
0,95007,71357,23995,grid,moore,100,5,15,one-to-one,0.25,95007,1,0,1.0,0.0
0,86171,84434,21613,grid,moore,100,5,15,one-to-one,0.25,86171,7,3,0.87,0.2
