index,Seed,Ticks,SuccessfulInfluence,Topology,neighborhood,num_agents,num_features,num_traits,communication_regime,homophily,seed,Regions,Isolates,Homogeneity,AverageDistance
0,88778,59451,19045,grid,moore,100,5,15,one-to-one,0.125,88778,1,0,1.0,0.0
0,12823,67638,19678,grid,moore,100,5,15,one-to-one,0.125,12823,2,0,0.98,0.035
0,88406,68713,22748,grid,moore,100,5,15,one-to-one,0.125,88406,1,0,1.0,0.0
0,83399,59471,21186,grid,moore,100,5,15,one-to-one,0.125,83399,1,0,1.0,0.0
0,51046,82367,20377,grid,moore,100,5,15,one-to-one,0.125,51046,1,0,1.0,0.0
0,96111,48849,16799,grid,moore,100,5,15,one-to-one,0.125,96111,1,0,1.0,0.0
0,22798,65961,21197,grid,moore,100,5,15,one-to-one,0.125,22798,2,0,0.98,0.035
0,46031,39562,12534,grid,moore,100,5,15,one-to-one,0.125,46031,2,1,0.99,0.02
0,83790,61068,20567,grid,moore,100,5,15,one-to-one,0.125,83790,2,0,0.98,0.035
0,81133,105659,31625,grid,moore,100,5,15,one-to-one,0.125,81133,1,0,1.0,0.0
0,70506,75605,24286,grid,moore,100,5,15,one-to-one,0.125,70506,3,2,0.98,0.04
0,67028,95938,28840,grid,moore,100,5,15,one-to-one,0.125,67028,1,0,1.0,0.0
0,43195,69572,22052,grid,moore,100,5,15,one-to-one,0.125,43195,2,0,0.98,0.035
0,36144,69300,24047,grid,moore,100,5,15,one-to-one,0.125,36144,1,0,1.0,0.0
0,83506,73226,25365,grid,moore,100,5,15,one-to-one,0.125,83506,1,0,1.0,0.0
0,89803,77227,24983,grid,moore,100,5,15,one-to-one,0.125,89803,1,0,1.0,0.0
0,54667,65065,20242,grid,moore,100,5,15,one-to-one,0.125,54667,1,0,1.0,0.0
0,95007,46776,16342,grid,moore,100,5,15,one-to-one,0.125,95007,1,0,1.0,0.0
0,86171,46545,15702,grid,moore,100,5,15,one-to-one,0.125,86171,2,1,0.99,0.02
0,48576,66671,19563,grid,moore,100,5,15,one-to-one,0.125,48576,2,1,0.99,0.02
0,44252,59972,21216,grid,moore,100,5,15,one-to-one,0.125,44252,1,0,1.0,0.0
0,34692,75171,26297,grid,moore,100,5,15,one-to-one,0.125,34692,1,0,1.0,0.0
0,90045,69587,21891,grid,moore,100,5,15,one-to-one,0.125,90045,2,0,0.98,0.035
0,74771,46765,14403,grid,moore,100,5,15,one-to-one,0.125,74771,2,1,0.99,0.02
0,57449,56761,18515,grid,moore,100,5,15,one-to-one,0.125,57449,2,1,0.99,0.02
